Choice situation,alt1.price,alt1.charge_time,alt1.detour_time,alt1.amenities,alt2.price,alt2.charge_time,alt2.detour_time,alt2.amenities,alt3.price,alt3.charge_time,alt3.detour_time,alt3.amenities,Block
1,0,15,0,-3,1,15,20,1,2,30,0,3,2
2,0.5,60,0,1,0.1,30,0,-3,0,60,0,3,1
3,0.1,60,0,-1,0,15,0,-3,0,60,20,1,2
4,0,60,0,3,10,60,20,-3,0,30,20,-1,2
5,0.5,30,0,1,0.1,60,0,-1,0.1,30,0,-3,1
6,0.1,30,0,-3,0.1,15,20,3,10,30,20,-3,1
7,5,15,0,-1,0,30,20,-1,10,60,20,-3,2
8,2,30,0,3,0.5,15,20,-1,0.5,30,0,1,2
9,10,15,0,3,2,15,0,1,5,15,0,-1,1
10,1,30,0,-1,0.5,60,0,1,0.5,15,20,-1,2
11,2,15,0,1,10,30,20,-3,0,15,0,-3,1
12,1,60,0,-3,2,60,20,-1,0,30,20,3,1
13,0,60,20,1,0,30,20,3,2,60,20,-1,1
14,0,15,20,-3,5,30,20,1,1,30,0,-1,2
15,0,30,20,3,1,60,0,-3,5,60,20,3,1
16,0.5,15,20,-1,10,15,0,3,1,15,20,1,1
17,0,30,20,-1,0,15,20,-3,5,30,20,1,1
18,0.1,15,20,3,1,30,0,-1,2,15,0,1,2
19,5,30,20,1,0,60,20,1,0.1,15,20,3,1
20,10,30,20,-3,5,60,20,3,0.5,60,0,1,2
21,2,60,20,-1,5,15,0,-1,1,60,0,-3,2
22,5,60,20,3,0,60,0,3,10,15,0,3,2
23,10,60,20,-3,2,30,0,3,0.1,60,0,-1,1
24,1,15,20,1,0.5,30,0,1,0,15,20,-3,2
